StartDate,FacilityLongName,numvisits
2009-03-24,Lions Gate Hospital,110
2009-03-25,Lions Gate Hospital,128
2009-03-26,Lions Gate Hospital,137
2009-03-27,Lions Gate Hospital,105
2009-03-28,Lions Gate Hospital,139
2009-03-29,Lions Gate Hospital,141
2009-03-30,Lions Gate Hospital,136
2009-03-31,Lions Gate Hospital,140
2009-04-01,Lions Gate Hospital,119
2009-04-02,Lions Gate Hospital,123
2009-04-03,Lions Gate Hospital,131
2009-04-04,Lions Gate Hospital,144
2009-04-05,Lions Gate Hospital,141
2009-04-06,Lions Gate Hospital,146
2009-04-07,Lions Gate Hospital,119
2009-04-08,Lions Gate Hospital,110
2009-04-09,Lions Gate Hospital,117
2009-04-10,Lions Gate Hospital,135
2009-04-11,Lions Gate Hospital,140
2009-04-12,Lions Gate Hospital,111
2009-04-13,Lions Gate Hospital,139
2009-04-14,Lions Gate Hospital,144
2009-04-15,Lions Gate Hospital,120
2009-04-16,Lions Gate Hospital,121
2009-04-17,Lions Gate Hospital,141
2009-04-18,Lions Gate Hospital,141
2009-04-19,Lions Gate Hospital,127
2009-04-20,Lions Gate Hospital,113
2009-04-21,Lions Gate Hospital,120
2009-04-22,Lions Gate Hospital,124
2009-04-23,Lions Gate Hospital,105
2009-04-24,Lions Gate Hospital,115
2009-04-25,Lions Gate Hospital,135
2009-04-26,Lions Gate Hospital,143
2009-04-27,Lions Gate Hospital,134
2009-04-28,Lions Gate Hospital,116
2009-04-29,Lions Gate Hospital,122
2009-04-30,Lions Gate Hospital,118
2009-05-01,Lions Gate Hospital,131
2009-05-02,Lions Gate Hospital,119
2009-05-03,Lions Gate Hospital,128
2009-05-04,Lions Gate Hospital,152
2009-05-05,Lions Gate Hospital,110
2009-05-06,Lions Gate Hospital,113
2009-05-07,Lions Gate Hospital,112
2009-05-08,Lions Gate Hospital,144
2009-05-09,Lions Gate Hospital,124
2009-05-10,Lions Gate Hospital,147
2009-05-11,Lions Gate Hospital,117
2009-05-12,Lions Gate Hospital,121
2009-05-13,Lions Gate Hospital,130
2009-05-14,Lions Gate Hospital,104
2009-05-15,Lions Gate Hospital,127
2009-05-16,Lions Gate Hospital,121
2009-05-17,Lions Gate Hospital,115
2009-05-18,Lions Gate Hospital,135
2009-05-19,Lions Gate Hospital,143
2009-05-20,Lions Gate Hospital,129
2009-05-21,Lions Gate Hospital,118
2009-05-22,Lions Gate Hospital,127
2009-05-23,Lions Gate Hospital,141
2009-05-24,Lions Gate Hospital,149
2009-05-25,Lions Gate Hospital,161
2009-05-26,Lions Gate Hospital,134
2009-05-27,Lions Gate Hospital,138
2009-05-28,Lions Gate Hospital,125
2009-05-29,Lions Gate Hospital,132
2009-05-30,Lions Gate Hospital,144
2009-05-31,Lions Gate Hospital,174
2009-06-01,Lions Gate Hospital,160
2009-06-02,Lions Gate Hospital,134
2009-06-03,Lions Gate Hospital,136
2009-06-04,Lions Gate Hospital,117
2009-06-05,Lions Gate Hospital,134
2009-06-06,Lions Gate Hospital,138
2009-06-07,Lions Gate Hospital,164
2009-06-08,Lions Gate Hospital,137
2009-06-09,Lions Gate Hospital,141
2009-06-10,Lions Gate Hospital,145
2009-06-11,Lions Gate Hospital,124
2009-06-12,Lions Gate Hospital,142
2009-06-13,Lions Gate Hospital,123
2009-06-14,Lions Gate Hospital,154
2009-06-15,Lions Gate Hospital,147
2009-06-16,Lions Gate Hospital,111
2009-06-17,Lions Gate Hospital,116
2009-06-18,Lions Gate Hospital,131
2009-06-19,Lions Gate Hospital,129
2009-06-20,Lions Gate Hospital,139
2009-06-21,Lions Gate Hospital,124
2009-06-22,Lions Gate Hospital,111
2009-06-23,Lions Gate Hospital,118
2009-06-24,Lions Gate Hospital,125
2009-06-25,Lions Gate Hospital,128
2009-06-26,Lions Gate Hospital,134
2009-06-27,Lions Gate Hospital,125
2009-06-28,Lions Gate Hospital,134
2009-06-29,Lions Gate Hospital,152
2009-06-30,Lions Gate Hospital,133
2009-07-01,Lions Gate Hospital,150
2009-07-02,Lions Gate Hospital,151
2009-07-03,Lions Gate Hospital,153
2009-07-04,Lions Gate Hospital,154
2009-07-05,Lions Gate Hospital,160
2009-07-06,Lions Gate Hospital,141
2009-07-07,Lions Gate Hospital,113
2009-07-08,Lions Gate Hospital,123
2009-07-09,Lions Gate Hospital,136
2009-07-10,Lions Gate Hospital,117
2009-07-11,Lions Gate Hospital,141
2009-07-12,Lions Gate Hospital,132
2009-07-13,Lions Gate Hospital,145
2009-07-14,Lions Gate Hospital,130
2009-07-15,Lions Gate Hospital,153
2009-07-16,Lions Gate Hospital,115
2009-07-17,Lions Gate Hospital,130
2009-07-18,Lions Gate Hospital,126
2009-07-19,Lions Gate Hospital,128
2009-07-20,Lions Gate Hospital,133
2009-07-21,Lions Gate Hospital,137
2009-07-22,Lions Gate Hospital,136
2009-07-23,Lions Gate Hospital,122
2009-07-24,Lions Gate Hospital,121
2009-07-25,Lions Gate Hospital,143
2009-07-26,Lions Gate Hospital,161
2009-07-27,Lions Gate Hospital,156
2009-07-28,Lions Gate Hospital,149
2009-07-29,Lions Gate Hospital,148
2009-07-30,Lions Gate Hospital,154
2009-07-31,Lions Gate Hospital,126
2009-08-01,Lions Gate Hospital,152
2009-08-02,Lions Gate Hospital,163
2009-08-03,Lions Gate Hospital,156
2009-08-04,Lions Gate Hospital,159
2009-08-05,Lions Gate Hospital,147
2009-08-06,Lions Gate Hospital,141
2009-08-07,Lions Gate Hospital,113
2009-08-08,Lions Gate Hospital,137
2009-08-09,Lions Gate Hospital,152
2009-08-10,Lions Gate Hospital,132
2009-08-11,Lions Gate Hospital,136
2009-08-12,Lions Gate Hospital,145
2009-08-13,Lions Gate Hospital,131
2009-08-14,Lions Gate Hospital,122
2009-08-15,Lions Gate Hospital,132
2009-08-16,Lions Gate Hospital,167
2009-08-17,Lions Gate Hospital,143
2009-08-18,Lions Gate Hospital,139
2009-08-19,Lions Gate Hospital,151
2009-08-20,Lions Gate Hospital,131
2009-08-21,Lions Gate Hospital,148
2009-08-22,Lions Gate Hospital,147
2009-08-23,Lions Gate Hospital,144
2009-08-24,Lions Gate Hospital,129
2009-08-25,Lions Gate Hospital,143
2009-08-26,Lions Gate Hospital,127
2009-08-27,Lions Gate Hospital,144
2009-08-28,Lions Gate Hospital,143
2009-08-29,Lions Gate Hospital,130
2009-08-30,Lions Gate Hospital,126
2009-08-31,Lions Gate Hospital,163
2009-09-01,Lions Gate Hospital,137
2009-09-02,Lions Gate Hospital,136
2009-09-03,Lions Gate Hospital,105
2009-09-04,Lions Gate Hospital,117
2009-09-05,Lions Gate Hospital,122
2009-09-06,Lions Gate Hospital,118
2009-09-07,Lions Gate Hospital,158
2009-09-08,Lions Gate Hospital,149
2009-09-09,Lions Gate Hospital,127
2009-09-10,Lions Gate Hospital,117
2009-09-11,Lions Gate Hospital,144
2009-09-12,Lions Gate Hospital,155
2009-09-13,Lions Gate Hospital,139
2009-09-14,Lions Gate Hospital,133
2009-09-15,Lions Gate Hospital,128
2009-09-16,Lions Gate Hospital,119
2009-09-17,Lions Gate Hospital,127
2009-09-18,Lions Gate Hospital,138
2009-09-19,Lions Gate Hospital,129
2009-09-20,Lions Gate Hospital,139
2009-09-21,Lions Gate Hospital,133
2009-09-22,Lions Gate Hospital,116
2009-09-23,Lions Gate Hospital,126
2009-09-24,Lions Gate Hospital,131
2009-09-25,Lions Gate Hospital,139
2009-09-26,Lions Gate Hospital,136
2009-09-27,Lions Gate Hospital,156
2009-09-28,Lions Gate Hospital,160
2009-09-29,Lions Gate Hospital,129
2009-09-30,Lions Gate Hospital,138
2009-10-01,Lions Gate Hospital,136
2009-10-02,Lions Gate Hospital,126
2009-10-03,Lions Gate Hospital,151
2009-10-04,Lions Gate Hospital,137
2009-10-05,Lions Gate Hospital,132
2009-10-06,Lions Gate Hospital,114
2009-10-07,Lions Gate Hospital,127
2009-10-08,Lions Gate Hospital,136
2009-10-09,Lions Gate Hospital,128
2009-10-10,Lions Gate Hospital,143
2009-10-11,Lions Gate Hospital,129
2009-10-12,Lions Gate Hospital,161
2009-10-13,Lions Gate Hospital,143
2009-10-14,Lions Gate Hospital,126
2009-10-15,Lions Gate Hospital,127
2009-10-16,Lions Gate Hospital,135
2009-10-17,Lions Gate Hospital,144
2009-10-18,Lions Gate Hospital,157
2009-10-19,Lions Gate Hospital,151
2009-10-20,Lions Gate Hospital,131
2009-10-21,Lions Gate Hospital,118
2009-10-22,Lions Gate Hospital,138
2009-10-23,Lions Gate Hospital,127
2009-10-24,Lions Gate Hospital,120
2009-10-25,Lions Gate Hospital,143
2009-10-26,Lions Gate Hospital,157
2009-10-27,Lions Gate Hospital,135
2009-10-28,Lions Gate Hospital,140
2009-10-29,Lions Gate Hospital,140
2009-10-30,Lions Gate Hospital,125
2009-10-31,Lions Gate Hospital,138
2009-11-01,Lions Gate Hospital,175
2009-11-02,Lions Gate Hospital,158
2009-11-03,Lions Gate Hospital,102
2009-11-04,Lions Gate Hospital,144
2009-11-05,Lions Gate Hospital,115
2009-11-06,Lions Gate Hospital,149
2009-11-07,Lions Gate Hospital,123
2009-11-08,Lions Gate Hospital,122
2009-11-09,Lions Gate Hospital,133
2009-11-10,Lions Gate Hospital,127
2009-11-11,Lions Gate Hospital,125
2009-11-12,Lions Gate Hospital,129
2009-11-13,Lions Gate Hospital,115
2009-11-14,Lions Gate Hospital,131
2009-11-15,Lions Gate Hospital,135
2009-11-16,Lions Gate Hospital,118
2009-11-17,Lions Gate Hospital,115
2009-11-18,Lions Gate Hospital,129
2009-11-19,Lions Gate Hospital,117
2009-11-20,Lions Gate Hospital,110
2009-11-21,Lions Gate Hospital,138
2009-11-22,Lions Gate Hospital,130
2009-11-23,Lions Gate Hospital,119
2009-11-24,Lions Gate Hospital,131
2009-11-25,Lions Gate Hospital,146
2009-11-26,Lions Gate Hospital,112
2009-11-27,Lions Gate Hospital,105
2009-11-28,Lions Gate Hospital,115
2009-11-29,Lions Gate Hospital,140
2009-11-30,Lions Gate Hospital,116
2009-12-01,Lions Gate Hospital,125
2009-12-02,Lions Gate Hospital,123
2009-12-03,Lions Gate Hospital,114
2009-12-04,Lions Gate Hospital,140
2009-12-05,Lions Gate Hospital,146
2009-12-06,Lions Gate Hospital,145
2009-12-07,Lions Gate Hospital,134
2009-12-08,Lions Gate Hospital,113
2009-12-09,Lions Gate Hospital,131
2009-12-10,Lions Gate Hospital,137
2009-12-11,Lions Gate Hospital,121
2009-12-12,Lions Gate Hospital,134
2009-12-13,Lions Gate Hospital,133
2009-12-14,Lions Gate Hospital,119
2009-12-15,Lions Gate Hospital,133
2009-12-16,Lions Gate Hospital,142
2009-12-17,Lions Gate Hospital,116
2009-12-18,Lions Gate Hospital,125
2009-12-19,Lions Gate Hospital,142
2009-12-20,Lions Gate Hospital,137
2009-12-21,Lions Gate Hospital,132
2009-12-22,Lions Gate Hospital,160
2009-12-23,Lions Gate Hospital,129
2009-12-24,Lions Gate Hospital,134
2009-12-25,Lions Gate Hospital,150
2009-12-26,Lions Gate Hospital,167
2009-12-27,Lions Gate Hospital,155
2009-12-28,Lions Gate Hospital,158
2009-12-29,Lions Gate Hospital,159
2009-12-30,Lions Gate Hospital,121
2009-12-31,Lions Gate Hospital,121
2010-01-01,Lions Gate Hospital,146
2010-01-02,Lions Gate Hospital,159
2010-01-03,Lions Gate Hospital,168
2010-01-04,Lions Gate Hospital,147
2010-01-05,Lions Gate Hospital,139
2010-01-06,Lions Gate Hospital,145
2010-01-07,Lions Gate Hospital,129
2010-01-08,Lions Gate Hospital,137
2010-01-09,Lions Gate Hospital,118
2010-01-10,Lions Gate Hospital,145
2010-01-11,Lions Gate Hospital,126
2010-01-12,Lions Gate Hospital,159
2010-01-13,Lions Gate Hospital,111
2010-01-14,Lions Gate Hospital,118
2010-01-15,Lions Gate Hospital,130
2010-01-16,Lions Gate Hospital,140
2010-01-17,Lions Gate Hospital,145
2010-01-18,Lions Gate Hospital,151
2010-01-19,Lions Gate Hospital,149
2010-01-20,Lions Gate Hospital,122
2010-01-21,Lions Gate Hospital,141
2010-01-22,Lions Gate Hospital,136
2010-01-23,Lions Gate Hospital,133
2010-01-24,Lions Gate Hospital,133
2010-01-25,Lions Gate Hospital,147
2010-01-26,Lions Gate Hospital,147
2010-01-27,Lions Gate Hospital,145
2010-01-28,Lions Gate Hospital,132
2010-01-29,Lions Gate Hospital,145
2010-01-30,Lions Gate Hospital,133
2010-01-31,Lions Gate Hospital,140
2010-02-01,Lions Gate Hospital,145
2010-02-02,Lions Gate Hospital,140
2010-02-03,Lions Gate Hospital,117
2010-02-04,Lions Gate Hospital,161
2010-02-05,Lions Gate Hospital,150
2010-02-06,Lions Gate Hospital,131
2010-02-07,Lions Gate Hospital,168
2010-02-08,Lions Gate Hospital,140
2010-02-09,Lions Gate Hospital,143
2010-02-10,Lions Gate Hospital,116
2010-02-11,Lions Gate Hospital,141
2010-02-12,Lions Gate Hospital,137
2010-02-13,Lions Gate Hospital,167
2010-02-14,Lions Gate Hospital,146
2010-02-15,Lions Gate Hospital,127
2010-02-16,Lions Gate Hospital,127
2010-02-17,Lions Gate Hospital,134
2010-02-18,Lions Gate Hospital,130
2010-02-19,Lions Gate Hospital,150
2010-02-20,Lions Gate Hospital,147
2010-02-21,Lions Gate Hospital,155
2010-02-22,Lions Gate Hospital,167
2010-02-23,Lions Gate Hospital,144
2010-02-24,Lions Gate Hospital,153
2010-02-25,Lions Gate Hospital,146
2010-02-26,Lions Gate Hospital,132
2010-02-27,Lions Gate Hospital,158
2010-02-28,Lions Gate Hospital,108
2010-03-01,Lions Gate Hospital,153
2010-03-02,Lions Gate Hospital,134
2010-03-03,Lions Gate Hospital,141
2010-03-04,Lions Gate Hospital,150
2010-03-05,Lions Gate Hospital,157
2010-03-06,Lions Gate Hospital,154
2010-03-07,Lions Gate Hospital,158
2010-03-08,Lions Gate Hospital,152
2010-03-09,Lions Gate Hospital,131
2010-03-10,Lions Gate Hospital,153
2010-03-11,Lions Gate Hospital,118
2010-03-12,Lions Gate Hospital,141
2010-03-13,Lions Gate Hospital,148
2010-03-14,Lions Gate Hospital,167
2010-03-15,Lions Gate Hospital,148
2010-03-16,Lions Gate Hospital,146
2010-03-17,Lions Gate Hospital,126
2010-03-18,Lions Gate Hospital,124
2010-03-19,Lions Gate Hospital,129
2010-03-20,Lions Gate Hospital,134
2010-03-21,Lions Gate Hospital,144
2010-03-22,Lions Gate Hospital,147
2010-03-23,Lions Gate Hospital,145
2010-03-24,Lions Gate Hospital,145
2010-03-25,Lions Gate Hospital,118
2010-03-26,Lions Gate Hospital,140
2010-03-27,Lions Gate Hospital,145
2010-03-28,Lions Gate Hospital,141
2010-03-29,Lions Gate Hospital,137
2010-03-30,Lions Gate Hospital,129
2010-03-31,Lions Gate Hospital,135
2010-04-01,Lions Gate Hospital,138
2010-04-02,Lions Gate Hospital,129
2010-04-03,Lions Gate Hospital,152
2010-04-04,Lions Gate Hospital,156
2010-04-05,Lions Gate Hospital,143
2010-04-06,Lions Gate Hospital,139
2010-04-07,Lions Gate Hospital,130
2010-04-08,Lions Gate Hospital,128
2010-04-09,Lions Gate Hospital,137
2010-04-10,Lions Gate Hospital,165
2010-04-11,Lions Gate Hospital,150
2010-04-12,Lions Gate Hospital,142
2010-04-13,Lions Gate Hospital,119
2010-04-14,Lions Gate Hospital,154
2010-04-15,Lions Gate Hospital,136
2010-04-16,Lions Gate Hospital,170
2010-04-17,Lions Gate Hospital,140
2010-04-18,Lions Gate Hospital,155
2010-04-19,Lions Gate Hospital,130
2010-04-20,Lions Gate Hospital,144
2010-04-21,Lions Gate Hospital,129
2010-04-22,Lions Gate Hospital,117
2010-04-23,Lions Gate Hospital,119
2010-04-24,Lions Gate Hospital,134
2010-04-25,Lions Gate Hospital,145
2010-04-26,Lions Gate Hospital,148
2010-04-27,Lions Gate Hospital,121
2010-04-28,Lions Gate Hospital,129
2010-04-29,Lions Gate Hospital,141
2010-04-30,Lions Gate Hospital,147
2010-05-01,Lions Gate Hospital,144
2010-05-02,Lions Gate Hospital,153
2010-05-03,Lions Gate Hospital,144
2010-05-04,Lions Gate Hospital,144
2010-05-05,Lions Gate Hospital,136
2010-05-06,Lions Gate Hospital,138
2010-05-07,Lions Gate Hospital,160
2010-05-08,Lions Gate Hospital,161
2010-05-09,Lions Gate Hospital,167
2010-05-10,Lions Gate Hospital,153
2010-05-11,Lions Gate Hospital,125
2010-05-12,Lions Gate Hospital,130
2010-05-13,Lions Gate Hospital,128
2010-05-14,Lions Gate Hospital,137
2010-05-15,Lions Gate Hospital,144
2010-05-16,Lions Gate Hospital,163
2010-05-17,Lions Gate Hospital,152
2010-05-18,Lions Gate Hospital,129
2010-05-19,Lions Gate Hospital,144
2010-05-20,Lions Gate Hospital,150
2010-05-21,Lions Gate Hospital,138
2010-05-22,Lions Gate Hospital,144
2010-05-23,Lions Gate Hospital,133
2010-05-24,Lions Gate Hospital,154
2010-05-25,Lions Gate Hospital,142
2010-05-26,Lions Gate Hospital,125
2010-05-27,Lions Gate Hospital,105
2010-05-28,Lions Gate Hospital,150
2010-05-29,Lions Gate Hospital,139
2010-05-30,Lions Gate Hospital,143
2010-05-31,Lions Gate Hospital,133
2010-06-01,Lions Gate Hospital,144
2010-06-02,Lions Gate Hospital,135
2010-06-03,Lions Gate Hospital,123
2010-06-04,Lions Gate Hospital,138
2010-06-05,Lions Gate Hospital,139
2010-06-06,Lions Gate Hospital,155
2010-06-07,Lions Gate Hospital,154
2010-06-08,Lions Gate Hospital,140
2010-06-09,Lions Gate Hospital,123
2010-06-10,Lions Gate Hospital,122
2010-06-11,Lions Gate Hospital,157
2010-06-12,Lions Gate Hospital,139
2010-06-13,Lions Gate Hospital,145
2010-06-14,Lions Gate Hospital,147
2010-06-15,Lions Gate Hospital,149
2010-06-16,Lions Gate Hospital,126
2010-06-17,Lions Gate Hospital,127
2010-06-18,Lions Gate Hospital,154
2010-06-19,Lions Gate Hospital,160
2010-06-20,Lions Gate Hospital,148
2010-06-21,Lions Gate Hospital,142
2010-06-22,Lions Gate Hospital,136
2010-06-23,Lions Gate Hospital,150
2010-06-24,Lions Gate Hospital,144
2010-06-25,Lions Gate Hospital,144
2010-06-26,Lions Gate Hospital,158
2010-06-27,Lions Gate Hospital,142
2010-06-28,Lions Gate Hospital,140
2010-06-29,Lions Gate Hospital,149
2010-06-30,Lions Gate Hospital,136
2010-07-01,Lions Gate Hospital,136
2010-07-02,Lions Gate Hospital,129
2010-07-03,Lions Gate Hospital,137
2010-07-04,Lions Gate Hospital,142
2010-07-05,Lions Gate Hospital,130
2010-07-06,Lions Gate Hospital,146
2010-07-07,Lions Gate Hospital,148
2010-07-08,Lions Gate Hospital,146
2010-07-09,Lions Gate Hospital,155
2010-07-10,Lions Gate Hospital,157
2010-07-11,Lions Gate Hospital,142
2010-07-12,Lions Gate Hospital,168
2010-07-13,Lions Gate Hospital,149
2010-07-14,Lions Gate Hospital,153
2010-07-15,Lions Gate Hospital,168
2010-07-16,Lions Gate Hospital,156
2010-07-17,Lions Gate Hospital,137
2010-07-18,Lions Gate Hospital,166
2010-07-19,Lions Gate Hospital,140
2010-07-20,Lions Gate Hospital,134
2010-07-21,Lions Gate Hospital,130
2010-07-22,Lions Gate Hospital,137
2010-07-23,Lions Gate Hospital,131
2010-07-24,Lions Gate Hospital,155
2010-07-25,Lions Gate Hospital,154
2010-07-26,Lions Gate Hospital,121
2010-07-27,Lions Gate Hospital,135
2010-07-28,Lions Gate Hospital,154
2010-07-29,Lions Gate Hospital,142
2010-07-30,Lions Gate Hospital,126
2010-07-31,Lions Gate Hospital,149
2010-08-01,Lions Gate Hospital,130
2010-08-02,Lions Gate Hospital,154
2010-08-03,Lions Gate Hospital,149
2010-08-04,Lions Gate Hospital,137
2010-08-05,Lions Gate Hospital,159
2010-08-06,Lions Gate Hospital,160
2010-08-07,Lions Gate Hospital,152
2010-08-08,Lions Gate Hospital,152
2010-08-09,Lions Gate Hospital,160
2010-08-10,Lions Gate Hospital,143
2010-08-11,Lions Gate Hospital,143
2010-08-12,Lions Gate Hospital,126
2010-08-13,Lions Gate Hospital,155
2010-08-14,Lions Gate Hospital,136
2010-08-15,Lions Gate Hospital,158
2010-08-16,Lions Gate Hospital,142
2010-08-17,Lions Gate Hospital,151
2010-08-18,Lions Gate Hospital,136
2010-08-19,Lions Gate Hospital,133
2010-08-20,Lions Gate Hospital,127
2010-08-21,Lions Gate Hospital,140
2010-08-22,Lions Gate Hospital,157
2010-08-23,Lions Gate Hospital,142
2010-08-24,Lions Gate Hospital,117
2010-08-25,Lions Gate Hospital,135
2010-08-26,Lions Gate Hospital,123
2010-08-27,Lions Gate Hospital,138
2010-08-28,Lions Gate Hospital,141
2010-08-29,Lions Gate Hospital,137
2010-08-30,Lions Gate Hospital,168
2010-08-31,Lions Gate Hospital,114
2010-09-01,Lions Gate Hospital,144
2010-09-02,Lions Gate Hospital,138
2010-09-03,Lions Gate Hospital,147
2010-09-04,Lions Gate Hospital,135
2010-09-05,Lions Gate Hospital,143
2010-09-06,Lions Gate Hospital,127
2010-09-07,Lions Gate Hospital,133
2010-09-08,Lions Gate Hospital,132
2010-09-09,Lions Gate Hospital,146
2010-09-10,Lions Gate Hospital,143
2010-09-11,Lions Gate Hospital,151
2010-09-12,Lions Gate Hospital,167
2010-09-13,Lions Gate Hospital,140
2010-09-14,Lions Gate Hospital,135
2010-09-15,Lions Gate Hospital,139
2010-09-16,Lions Gate Hospital,124
2010-09-17,Lions Gate Hospital,140
2010-09-18,Lions Gate Hospital,157
2010-09-19,Lions Gate Hospital,143
2010-09-20,Lions Gate Hospital,152
2010-09-21,Lions Gate Hospital,127
2010-09-22,Lions Gate Hospital,108
2010-09-23,Lions Gate Hospital,122
2010-09-24,Lions Gate Hospital,112
2010-09-25,Lions Gate Hospital,152
2010-09-26,Lions Gate Hospital,141
2010-09-27,Lions Gate Hospital,138
2010-09-28,Lions Gate Hospital,127
2010-09-29,Lions Gate Hospital,139
2010-09-30,Lions Gate Hospital,129
2010-10-01,Lions Gate Hospital,119
2010-10-02,Lions Gate Hospital,140
2010-10-03,Lions Gate Hospital,153
2010-10-04,Lions Gate Hospital,133
2010-10-05,Lions Gate Hospital,134
2010-10-06,Lions Gate Hospital,131
2010-10-07,Lions Gate Hospital,144
2010-10-08,Lions Gate Hospital,151
2010-10-09,Lions Gate Hospital,122
2010-10-10,Lions Gate Hospital,133
2010-10-11,Lions Gate Hospital,127
2010-10-12,Lions Gate Hospital,138
2010-10-13,Lions Gate Hospital,132
2010-10-14,Lions Gate Hospital,152
2010-10-15,Lions Gate Hospital,123
2010-10-16,Lions Gate Hospital,141
2010-10-17,Lions Gate Hospital,146
2010-10-18,Lions Gate Hospital,126
2010-10-19,Lions Gate Hospital,131
2010-10-20,Lions Gate Hospital,125
2010-10-21,Lions Gate Hospital,136
2010-10-22,Lions Gate Hospital,140
2010-10-23,Lions Gate Hospital,131
2010-10-24,Lions Gate Hospital,140
2010-10-25,Lions Gate Hospital,114
2010-10-26,Lions Gate Hospital,134
2010-10-27,Lions Gate Hospital,131
2010-10-28,Lions Gate Hospital,140
2010-10-29,Lions Gate Hospital,143
2010-10-30,Lions Gate Hospital,155
2010-10-31,Lions Gate Hospital,131
2010-11-01,Lions Gate Hospital,139
2010-11-02,Lions Gate Hospital,118
2010-11-03,Lions Gate Hospital,139
2010-11-04,Lions Gate Hospital,134
2010-11-05,Lions Gate Hospital,147
2010-11-06,Lions Gate Hospital,132
2010-11-07,Lions Gate Hospital,143
2010-11-08,Lions Gate Hospital,131
2010-11-09,Lions Gate Hospital,133
2010-11-10,Lions Gate Hospital,149
2010-11-11,Lions Gate Hospital,140
2010-11-12,Lions Gate Hospital,154
2010-11-13,Lions Gate Hospital,145
2010-11-14,Lions Gate Hospital,118
2010-11-15,Lions Gate Hospital,135
2010-11-16,Lions Gate Hospital,133
2010-11-17,Lions Gate Hospital,117
2010-11-18,Lions Gate Hospital,109
2010-11-19,Lions Gate Hospital,122
2010-11-20,Lions Gate Hospital,126
2010-11-21,Lions Gate Hospital,132
2010-11-22,Lions Gate Hospital,156
2010-11-23,Lions Gate Hospital,138
2010-11-24,Lions Gate Hospital,127
2010-11-25,Lions Gate Hospital,125
2010-11-26,Lions Gate Hospital,127
2010-11-27,Lions Gate Hospital,141
2010-11-28,Lions Gate Hospital,150
2010-11-29,Lions Gate Hospital,150
